,author,PhD publication year,university name,country name,PhD title,subject,number of mentors,mentors,number of students,students
291,Ramon  Sanguesa,1997,Universitat Politècnica de Catalunya,Spain,Learning Possibilistic Causal Networks from Data,68—Computer science,1,['Ulises  Cortés'],3,"['Chao, Isaac', 'Pujol, Josep-Maria', 'Roure, Josep']"
292,Julia  Sapiña,2017,Universitat Politècnica de València,Spain,Rewriting Logic Techniques for Program Analysis and Optimization,68—Computer science,2,"['María  Alpuente', 'Demis  Ballis']",0,[]
293,Mohammed  Sayed,2022,Universitat Rovira i Virgili,Spain,Developing Novel Criteria to Classify ARDS Severity using a Machine Learning Approach,68—Computer science,1,['David  Riano'],0,[]
294,Dragos Florin Sburlan,2006,Universidad de Sevilla,Spain,Promoting and Inhibiting Contexts in Membrane Computing,68—Computer science,2,"['Gheorghe  Păun', 'Mario Jesús Pérez-Jiménez']",0,[]
295,Marco  Schorlemmer,1999,Universitat Politècnica de Catalunya,Spain,On Specifying and Reasoning with Special Relations,68—Computer science,2,"['Jaume  Agustí-Cullell', 'Jordi  Levy']",3,"['Joseph, Sindhu', 'Koster, Andrew', 'Perreau de Pinninck, Adrian']"
296,Francesc  Sebé Feixas,2003,Universitat Politècnica de Catalunya,Spain,Transparent Protection of Data,68—Computer science,1,['Josep  Domingo-Ferrer'],2,"['Castellà-Roca, Jordi', 'Viejo, Alexandre']"
297,Maria  Serna,1990,Universitat Politècnica de Catalunya,Spain,The parallel Approximability of P-complete problems,68—Computer science,2,"['Joaquim  Gabarro', 'Paul George Spirakis']",0,[]
298,Oscar  Serradilla,2022,Mondragon Unibertsitatea,Spain,"Design and validation of a methodology to
implement data-driven predictive
maintenance in industrial environments",68—Computer science,1,['Urko  Zurutuza'],0,[]
299,Carles  Sierra,1989,Universitat Politècnica de Catalunya,Spain,MILORD: Multilevel Architecture for Classification Expert Systems,68—Computer science,1,['Ramon  Lopez de Mantaras'],17,"['Andrejczuk, Ewa', 'Bogdanovych, Anton', 'Busquets, Didac', 'Casali, Ana', 'De Jonge, Dave', 'Delgado, Maria del Carmen', 'Domingo, Marta', 'Esteva, Marc', 'Fabregues, Angela', 'Faratin, Peyman', 'Joseph, Sindhu', 'Noriega, Pablo', 'Perreau de Pinninck, Adrian', 'Ramchurn, Gopal', 'Rodriguez-Aguilar, Juan-Antonio', 'Sabater-Mir, Jordi', 'Vila, Lluis']"
300,Josep  Silva,2007,Universitat de València,Spain,"Debugging Techniques for Declarative Languages: Profiling, Program Slicing, and Algorithmic Debugging",68—Computer science,1,['German  Vidal'],0,[]
301,Agusti  Solanas,2007,Universitat Politècnica de Catalunya,Spain,Contributions to Privacy Protection in the Information Society,68—Computer science,2,"['Josep  Domingo-Ferrer', 'Josep Maria  Mateo-Sanz']",1,"['Trujillo-Rasua, Rolando']"
302,Oscar  Somarriba,2019,Mondragon Unibertsitatea,Spain,Dynamic monitoring of android malware behavior: a DNS-based approach,68—Computer science,2,"['Urko  Zurutuza', 'Roberto  Uribeetxeberria']",0,[]
303,Jordi  Soria-Comas,2013,Universitat Rovira i Virgili,Spain,Improving data utility in differential privacy and k-anonymity,68—Computer science,1,['Josep  Domingo-Ferrer'],1,"['Ricci, Sara']"
304,Héctor  Soza,2013,Universidad Politécnica de Madrid,Spain,Medidas de Calidad para Software Orientado a Agentes,68—Computer science,2,"['José  Fuertes', 'Löic  Martínez']",0,[]
305,Nataliia  Stuvola,2018,Universidad Politécnica de Madrid,Spain,Improving Run-time Checking in Dynamic Programming Languages,68—Computer science,2,"['José Francisco  Morales Caballero', 'Manuel V. Hermenegildo Salinas']",0,[]
306,Christopher  Thraves,2008,Universidad Rey Juan Carlos and Universidad de Chile,Spain,Performance of Scheduling Policies and Networks in Generalized Adversarial Queueing,68—Computer science,2,"['Antonio  Fernández Anta', 'Marcos  Kiwi']",0,[]
307,Karl  Thurnhofer Hemsi,2021,Universidad de Málaga,Spain,Robust computational intelligence techniques for visual information processing,68—Computer science,1,['Ezequiel  López Rubio'],0,[]
308,Cristina Bibire Tîrnăucă,2009,Universitat Rovira i Virgili,Spain,Language Learning with Correction Queries,68—Computer science,2,"['Colin  de la Higuera', 'Victor  Mitrana']",0,[]
309,Pancho  Tolchinsky,2012,Universitat Politècnica de Catalunya,Spain,ProCLAIM: An Argument-Based Model for Deliberating Over Safety Critical Actions,68—Computer science,1,['Ulises  Cortés'],0,[]
