,author,PhD publication year,university name,country name,PhD title,subject,number of mentors,mentors,number of students,students
46,José M.  Carmona-Cejudo,2013,Universidad de Málaga,Spain,"Nuevas tendencias en fundamentos teóricos y aplicaciones de la minería de
datos aplicada a la clasificación de textos en lenguaje natural",68—Computer science,2,"['Rafael  Morales-Bueno', 'Manuel  Baena-García']",0,[]
47,Ana  Casali,2008,Universitat de Girona,Spain,On Intentional and Social Agents with Graded Attitudes,68—Computer science,2,"['Carles  Sierra', 'Lluís  Godo Lacasa']",0,[]
48,Jordi  Castellà-Roca,2005,Universidad Autónoma de Barcelona,Spain,Contributions to Mental Poker,68—Computer science,2,"['Josep  Domingo-Ferrer', 'Francesc  Sebé Feixas']",2,"['Jardí-Cedó, Roger', 'Romero-Tris, Cristina']"
49,Pablo  Castells,1994,Universidad Autónoma de Madrid,Spain,Heurísticas y metaconocimiento en resolución automática de problemas de matemáticas,68—Computer science,1,['Roberto  Moriyón'],0,[]
50,Juan Luis  Castro,1991,Universidad de Granada,Spain,Contribución al estudio de modelos lógicos para la inteligencia artificial,68—Computer science,1,['Enric  Trillas'],0,[]
51,David  Castro-Esteban,2001,Universidad de Cantabria,Spain,Sobre la Complejidad de la Representacion de Variedades Algebraicas,68—Computer science,1,['Luis Miguel  Pardo'],0,[]
52,Andreu  Català,1993,Universitat Politècnica de Catalunya,Spain,Connectionist Approach to the Optimal Separation between Classes in the Bayesian Sense,68—Computer science,2,"['Josep  Aguilar-Martin', 'Josep  Fuertes']",1,"['Angulo, Cecilio']"
53,Matteo  Cavaliere,2006,Universidad de Sevilla,Spain,"Evolution, Communication, Observation: From Biology to Membrane Computing and Back",68—Computer science,2,"['Mario Jesús Pérez-Jiménez', 'Gheorghe  Păun']",1,"['Sedwards, Sean']"
54,Miguel  Cazorla,2000,Universidad de Alicante,Spain,Un enfoque bayesiano para la extracción de caracteràsticas y agrupamiento en visión artificial,68—Computer science,1,['Francisco  Escolano'],0,[]
55,Luigi  Ceccaroni,2001,Universitat Politècnica de Catalunya,Spain,ONTOWEDSS- An Ontology-Based Environmental Decision Support System for the Management of Wastewater Treatment Plants,68—Computer science,2,"['Ulises  Cortés', 'Miquel  Sànchez-Marrè']",4,"['Codina, Victor', 'Pons Freixas, Sergi', 'Simón Cuevas, Alfredo', 'Subirats, Laia']"
56,Ana  Cerdeira,2013,Universidade da Coruña,Spain,Compressed Self-Indexed XML Representation with Efficient XPath Evaluation,68—Computer science,2,"['Nieves  Brisaboa', 'Gonzalo  Navarro']",0,[]
57,Jesus  Cerquides,2003,Universitat Politècnica de Catalunya,Spain,Improving Bayesian Networks Classifiers,68—Computer science,1,['Ramon  Lopez de Mantaras'],6,"['Capdevila, Joan', 'Giovanucci, Andrea', 'Penya-Alba, Toni', 'Pujol, Marc', 'Ribes, Arturo', 'Vinyals, Meritxell']"
58,Jesús Miguel  Chacón,2006,Universidad de Castilla - La Mancha,Spain,Procesado de gemetria en cagd mediante S-series,68—Computer science,1,['Javier  Sánchez-Reyes'],0,[]
59,Isaac  Chao,2008,Universitat Politècnica de Catalunya,Spain,A Group Selection Pattern for Multiagent Systems and Its Application to Grid Computing,68—Computer science,2,"['Ramon  Sanguesa', 'Óscar  Ardáiz']",0,[]
60,Francisco  Chiclana,2000,Universidad de Granada,Spain,"The Integration of Different Fuzzy Preference Structures in Decision Making
Problems with Multiple Experts",68—Computer science,2,"['Enrique  Herrera-Viedma', 'Francisco  Herrera']",0,[]
61,Pablo  Chico de Guzmán,2012,Universidad Politécnica de Madrid,Spain,Estrategias Avanzadas de Tabulación y Paralelismo en Programas Lógicos,68—Computer science,2,"['Manuel  Carro Liñares', 'Manuel V. Hermenegildo Salinas']",0,[]
62,Hepzibah A. Christinal,2011,Universidad de Sevilla,Spain,Membrane Computing and Computational Algebraic Topology. Applications to Digital Image,68—Computer science,2,"['Daniel  Díaz Pernil', 'Pedro  Real Jurado']",0,[]
63,Buenaventura  Clares,1983,Universidad de Granada,Spain,Maquinas de Turing borrosas y modelos de W-calculabilidad,68—Computer science,1,['Miguel  Delgado Calvo-Flores'],0,[]
64,Victor  Codina,2014,Universitat Politècnica de Catalunya,Spain,"Exploiting Distributional Semantics for Content-Based and Context-Aware
Recommendation",68—Computer science,1,['Luigi  Ceccaroni'],0,[]
65,Eduardo René Concepción Morales,2010,University of the Basque Country and Universidad de Cienfuegos,Spain,Contribuciones a la segmentacion de imagenes mediante algoritmos de clasificacion automatica,68—Computer science,1,['Yosu  Yurramendi'],0,[]
66,Roberto  Confalonieri,2011,Universitat Politècnica de Catalunya,Spain,"The Role of Preferences in Logic Programming: Non-monotonic Reasoning, User Preferences, Decision under Uncertainty",68—Computer science,2,"['Javier  Vazquez-Salceda', 'Juan Carlos Nieves']",0,[]
67,Francisco J. Correa-Zabala,2002,Universitat Politècnica de València,Spain,Declarative Debugging of Functional Logic Programs,68—Computer science,1,['María  Alpuente'],0,[]
68,Atia  Cortés,2018,Universitat Politècnica de Catalunya,Spain,Human-smart rollator interaction ofr gait analysis and fall prevention using learning methods and the i-Walker,68—Computer science,2,"['Javier  Bejar', 'Antonio  Martinez-Velasco']",0,[]
69,Ulises  Cortés,1984,Universitat Politècnica de Catalunya,Spain,"Multi-level Schema for the Interactive Acquisition, Representation and Processing of Knowledge in 3-D Scenarios",68—Computer science,1,['Ramon  Lopez de Mantaras'],24,"['Annicchiarico, Roberta', 'Aulinas Masó, Montse', 'Barrué Subirana, Cristian', 'Bejar, Javier', 'Ceccaroni, Luigi', 'Dí\xadaz-Labrador, Josuka', 'Garcia-Gasulla, Dario', 'Gibert, Karina', 'Manero, Jaume', 'Martin, Mario', 'Moreno, Antonio', 'Nieves, Juan', 'Núñez, Gustavo', 'Olvera, Claudia', 'Riano, David', 'Rojo, Emili', 'Roure, Josep', 'Sànchez-Marrè, Miquel', 'Sanguesa, Ramon', 'Tolchinsky, Pancho', 'Torra, Vicenc', 'Turon Planella, Claudia', 'Urdiales, Cristina', 'Vazquez-Salceda, Javier']"
70,Natalia  Criado,2012,Universitat Politècnica de València,Spain,Using Norms to Control Open Multi-agent Systems,68—Computer science,3,"['Vicente  Botti', 'Estefania  Argente', 'Pablo  Noriega']",0,[]
71,Carmelo  Cuenca,2004,Universidad de Las Palmas de Gran Canaria,Spain,"Reconstrucción de la geometría tridimensional de una escena a partir de
múltiples vistas",68—Computer science,1,['Luis  Álvarez'],0,[]
72,Angel Eduardo  Cuenca-Ortega,2019,Universitat Politècnica de València,Spain,Partial Evaluation of Equational Logic Theories,68—Computer science,2,"['María  Alpuente', 'Santiago  Escobar']",0,[]
73,Angel  Dacal-Nieto,2011,Universidad de Vigo,Spain,Image processing and hyperspectral imaging for quality control in the potato industry,68—Computer science,2,"['Arno  Formella', 'Pilar  Carrion']",0,[]
74,Guillermo  de Bernardo,2014,Universidade da Coruña,Spain,New Data Structures and Algorithms for the Efficient Management of Large Spatial Datasets,68—Computer science,2,"['Nieves  Brisaboa', 'Gonzalo  Navarro']",0,[]
75,Sofía  de la Riva Fernández,2017,Universitat Rovira i Virgili and Universitat Politècnica de Catalunya,Spain,Estudio del cribado y desarrollo de un sistema de ayuda a las decisiones clínicas en la retinopatía diabética ﻿,68—Computer science,1,['Antonio  Moreno'],0,[]
76,Germán Andrés Delbianco,2017,Universidad Politécnica de Madrid,Spain,Hoare-style Reasoning with Higher-order Control: Continuations and Concurrency,68—Computer science,1,['Aleksandar  Nanevski'],0,[]
77,José  del-Campo,2007,Universidad de Málaga,Spain,Nuevos enfoques en aprendizaje incremental,68—Computer science,2,"['Rafael  Morales-Bueno', 'Gonzalo  Ramos']",0,[]
78,Jordi  Delgado,1997,Universitat Politècnica de Catalunya,Spain,On Collective Computation,68—Computer science,1,['Ricard V. Solé'],1,"['Pujol, Josep-Maria']"
79,Laura  De Miguel,2017,Universidad Publica de Navarra,Spain,Computing with uncertain truth degrees: a convolution-based approach,68—Computer science,3,"['Humberto Nicanor Bustince-Sola', 'Bernard  De Baets', 'Esteban  Induráin']",0,[]
80,Carmen  de Trazegnies,2004,Universidad de Málaga,Spain,Sistema de aprendizaje y reconocimiento de objetos 3D apartir de imÃ¡genes planas,68—Computer science,1,['Cristina  Urdiales'],0,[]
81,Josuka  Dí­az-Labrador,1996,Universidad de Deusto,Spain,Implementacion eficiente de la recursividad final en lenguajes imperativos basada en nuevas tecnicas de compilacion,68—Computer science,1,['Ulises  Cortés'],4,"['Barrutieta Anduiza, Guillermo', 'Buján, David', 'Fermoso García, Ana', 'Gómez-del-Rincón, Pilar']"
82,Daniel  Díaz Pernil,2008,Universidad de Sevilla,Spain,Sistemas Celulares de Tejido: Formalización y Eficiencia Computacional,68—Computer science,2,"['Mario Jesús Pérez-Jiménez', 'Álvaro  Romero-Jiménez']",2,"['Christinal, Hepzibah', 'Reina-Molina, Raul']"
83,Marta  Domingo,1994,Universidad de Barcelona,Spain,An Expert System Architecture for Taxonomic Domains. An Application in Porifera: The Development of Spongia,68—Computer science,1,['Carles  Sierra'],0,[]
84,Necati Bora Edizel,2019,Universitat Pompeu Fabra,Spain,Word Embeddings with Applications to Web Search and Advertising,68—Computer science,2,"['Ricardo A. Baeza-Yates', 'Amin  Mantrach']",0,[]
85,Jorge  Elorza Barbajero,1993,Universidad Publica de Navarra,Spain,"Generación, estructuras y representación de los operadores de consecuencias de la lógica borrosa",68—Computer science,1,['Pedro J. Burillo-López'],0,[]
86,Santiago  Escobar,2003,Universitat Politècnica de València,Spain,Strategies and Analysis Techniques for Functional Program Optimization,68—Computer science,2,"['María  Alpuente', 'Salvador  Lucas-Alba']",3,"['Alba-Castro, Mauricio', 'Cuenca-Ortega, Angel Eduardo', 'Iborra, José']"
87,Sergio  España,2011,Universitat Politècnica de València,Spain,"Methodological integration of Communication Analysis into a model-driven
software development framework",68—Computer science,2,"['Óscar  Pastor', 'Arturo  González']",1,"['Ruiz, Marcela']"
88,Javier  Esparza,1990,Universidad de Zaragoza,Spain,Teoría estructural de redes de libre elección,68—Computer science,1,['Manuel Silva Suárez'],19,"['Apinis, Kalmer', 'Gaiser, Andreas', 'Kern, Christian', 'Kiefer, Stefan', 'König, Barbara', 'Kretínsky, Jan', 'Luttenberger, Michael', 'Mayr, Richard', 'Melzer, Stephan', 'Neumann, René', 'Prensa Nieto, Leonor', 'Röckl, Christine', 'Römer, Stefan', 'Schlund, Maximilian', 'Schröter, Claus', 'Schwoon, Stefan', 'Stefanescu, Alin', 'Stübinger, Andreas', 'Suwimonteerabuth, Dejvuth']"
89,Jesus  Espinola,2007,Universidad de Cantabria,Spain,Nuevas Técnicas Algebraicas y Numéricas para la Resolución de Problemas Geométricos en Diseño Geométrico Asistido Por Ordenador,68—Computer science,2,"['Laureano  Gonzalez-Vega', 'Jaime  Puig-Pey']",0,[]
90,Juan Luis  Esteban,2003,Universitat Politècnica de Catalunya,Spain,Complexity Measures for Resolution,68—Computer science,2,"['Maria Luisa Bonet', 'Jacobo  Torán']",0,[]
91,Marc  Esteva,2003,Universitat Politècnica de Catalunya,Spain,Electronic Institutions: From Specification to Development,68—Computer science,1,['Carles  Sierra'],2,"['Campos, Jordi', 'Trescak, Tomas']"
92,Enaitz  Ezpeleta,2016,Mondragon Unibertsitatea,Spain,New approaches for content-based analysis towards online social network spam detection,68—Computer science,1,['Urko  Zurutuza'],0,[]
93,Angel  Farguell Caus,2018,Universidad Autónoma de Barcelona,Spain,Modeling Wildland Fire Behaviour using a Multi-physics System on HPC Platforms,68—Computer science,3,"['Ana  Cortés Fité', 'Josep Ramón Miró Cubells', 'Jan  Mandel']",0,[]
94,Antonio  Fariña,2005,Universidade da Coruña,Spain,New Compression Codes for Text Databases,68—Computer science,2,"['Nieves  Brisaboa', 'Gonzalo  Navarro']",0,[]
95,Marco Antonio Feliú Gabaldón,2013,Universitat Politècnica de València,Spain,"Logic-based techniques for program
analysis and synthesis",68—Computer science,2,"['María  Alpuente', 'Alicia  Villanueva']",0,[]
96,Ana  Fermoso García,2004,Universidad de Deusto,Spain,XBD: sistema de consulta basado en XML a bases de datos relacionales,68—Computer science,2,"['Mª José  Gil Larrea', 'Josuka  Dí\xadaz-Labrador']",1,"['Berjón Gallinas, Roberto']"
97,Javier David Fernández,2014,Universidad de Chile and Universidad de Valladolid,Chile,"Binary RDF for Scalable Publishing, Exchanging and Consumption in the Web of Data",68—Computer science,3,"['Claudio  Gutierrez', 'Miguel  Martínez-Prieto', 'Pablo  de la Fuente']",0,[]
98,Javier  Fernandez-Anakabe,2020,Mondragon Unibertsitatea,Spain,"An attribute oriented induction based methodology to aid in predictive maintenance: anomaly detection, root cause analysis and remaining useful life",68—Computer science,1,['Urko  Zurutuza'],0,[]
99,María-Inés  Fernández-Camacho,1988,Universidad Complutense de Madrid,Spain,Análisis medio de algoritmos de reducción sobre árboles,68—Computer science,1,['Jean-Marc  Steyaert'],1,"['Sánchez-Couso, José-Ramón']"
100,Manuel  Fernández Carmona,2014,Universidad de Málaga,Spain,Autonomia adaptable por predicción individualizada en CARMEN,68—Computer science,1,['Cristina  Urdiales'],0,[]
101,Norberto  Fernández García,2007,Universidad Carlos III de Madrid,Spain,Técnicas para la anotación semántica de recursos electrónicos,68—Computer science,1,['Luis  Sánchez Fernández'],0,[]
102,Jose Luis  Fernandez-Marquez,2011,Universidad Autónoma de Barcelona,Spain,Bio-inspired Mechanisms for Self-organising Systems,68—Computer science,1,['Josep-Lluis  Arcos'],0,[]
103,Maria Carmen   Fernández Panadero,2004,Universidad Carlos III de Madrid,Spain,EPM : un modelo para la caracterización y diagnóstico de procesos educativos,68—Computer science,2,"['Andrés  Marín López', 'Abelardo  Pardo Sánchez']",0,[]
104,José Manuel Ferrández-Vicente,1998,Universidad Politécnica de Madrid,Spain,Estudio y realización de una arquitectura jerárquica bioinspirada para el reconocimiento del habla,68—Computer science,1,['M. Victoria Rodellar Biarge'],1,"['Bonomini, Maria']"
105,Inmaculada  Fortes,2001,Universidad de Málaga,Spain,"Prospección de datos, aprendizaje computacional y técnicas estadísticas para la obtención de reglas",68—Computer science,1,['Rafael  Morales-Bueno'],0,[]
106,Francisco  Frechina,2014,Universitat de València,Spain,"A Rewriting-based, Parameterized Exploration Scheme for the Dynamic Analysis of Complex Software Systems",68—Computer science,2,"['María  Alpuente', 'Demis  Ballis']",0,[]
107,Ana Maria Freire Veiga,2014,Universidade da Coruña,Spain,Query Scheduling Techniques and Power-Latency Trade-off Model for Large-Scale Search Engines,68—Computer science,1,['Fidel  Cacheda'],0,[]
108,Nicola  Galesi,2000,Universitat Politècnica de Catalunya,Spain,On the Complexity of Propositional Proof Systems,68—Computer science,1,['Maria Luisa Bonet'],2,"['Bonacina, Ilario', 'Lauria, Massimo']"
109,David  Galindo Chacón,2004,Universitat Politècnica de Catalunya,Spain,Design and Analysis of Semantically Secure Public Key Encryption Schemes,68—Computer science,1,['Sebastiá  Martín Molleví'],0,[]
110,Emilio Jesús  Gallego Arias,2012,Universidad Politécnica de Madrid,Spain,Relational and Allegorical Semantics for Constraint Logic Programming,68—Computer science,2,"['Julio  Mariño y Carballo', 'James  Lipton']",0,[]
111,Narciso  García,1983,Universidad Politécnica de Madrid,Spain,Procesamiento digital automático de imágenes de estructuras virales cristalinas,68—Computer science,1,['Antonio  Santisteban'],2,"['Morán, Francisco', 'Ronda, José Ignacio']"
112,Andres  Garcia Camino,2009,Universidad Autónoma de Barcelona,Spain,Normative Regulation of Open Multi-agent Systems,68—Computer science,2,"['Pablo  Noriega', 'Juan-Antonio  Rodriguez-Aguilar']",0,[]
113,Isabel  García Contreras,2021,Universidad Politécnica de Madrid,Spain,A scalable static analysis framework for reliable program development exploiting incrementality and modularity,68—Computer science,1,['Manuel V. Hermenegildo Salinas'],0,[]
114,Ignacio  Garcia de Amo,2012,Universidad de Granada,Spain,"Uncertain and Dynamic Optimization Problems: Solving Strategies and
Applications",68—Computer science,2,"['David Alejandro Pelta', 'Jose Luis  Verdegay']",0,[]
115,Manuel Manu Garcia-Quismondo,2014,Universidad de Sevilla,Spain,Modelling and simulation of real-life phenomena with Membrane Computing,68—Computer science,2,"['Mario Jesús Pérez-Jiménez', 'Miguel Ángel  Martínez del Amor']",0,[]
116,Marco A.  García Tamargo,2006,Universidad de Oviedo,Spain,Diseño de una arquitectura de control multiagente para la coordinación de desfases en una red de cruces,68—Computer science,1,['J. Secundino  López García'],0,[]
117,Iñaki  Garitano,2014,Mondragon Unibertsitatea,Spain,Behavioral Modeling for Anomaly Detection in Industrial Control Systems,68—Computer science,2,"['Urko  Zurutuza', 'Roberto  Uribeetxeberria']",0,[]
118,Karina  Gibert,1995,Universitat Politècnica de Catalunya,Spain,L'us de la Informacio Simbolica en l'Automatitzacio del Tractament Estadistic de Dominis poc Estructurats,68—Computer science,1,['Ulises  Cortés'],5,"['Batet, Montserrat', 'Perez Bonilla, Alejandra', 'Rodas, Jorge', 'Rodriguez Silva, Gustavo', 'Sevilla, Beatriz']"
119,Andrea  Giovanucci,2008,Universidad Autónoma de Barcelona,Spain,Computationally Manageable Combinatorial Auctions for Supply Chain Automation,68—Computer science,2,"['Jesus  Cerquides', 'Juan-Antonio  Rodriguez-Aguilar']",0,[]
120,Mario  Gomez,2004,Universidad Autónoma de Barcelona,Spain,"Open, Reusable, and Configurable Multi Agent Systems: A Knowledge Modelling Approach",68—Computer science,1,['Enric  Plaza'],0,[]
121,Adrián  Gómez-Brandón,2020,Universidade da Coruña,Spain,Succinct and Self-Indexed Data Structures for the Exploitation and Representation of Moving Objects,68—Computer science,2,"['Nieves  Brisaboa', 'Gonzalo  Navarro']",0,[]
122,Pilar  Gómez-del-Rincón,1999,Universidad de Deusto,Spain,Estudio y realización de un entorno integrado avanzado de programación,68—Computer science,1,['Josuka  Dí\xadaz-Labrador'],0,[]
123,Jorge  Gomez-Garcia,2018,Universidad Politécnica de Madrid,Spain,"Contributions to the Design of Automatic Voice Quality Analysis Systems using
Speech Technologies",68—Computer science,1,['Juan Ignacio Godino-Llorente'],0,[]
124,Miguel  Gómez-Zamalloa,2009,Universidad Complutense de Madrid,Spain,Transformation and Analysis of Object Oriented Bytecode.,68—Computer science,1,['Elvira  Albert'],0,[]
125,Esther  Gonzalez,2008,Universidad de Las Palmas de Gran Canaria,Spain,Biometría de la oreja,68—Computer science,2,"['Luis  Álvarez', 'Luis  Mazorra']",0,[]
126,Ana  González,2004,Universidad Autónoma de Madrid,Spain,Radiografía del Análisis Discriminante no Lineal,68—Computer science,1,['José Ramon Dorronsoro'],0,[]
127,Arturo  González,2003,Universitat Politècnica de València,Spain,"Algunas consideraciones sobre el uso de la abstracción en el análisis de
los sistemas de información de gestión",68—Computer science,1,['Isidro  Ramos'],1,"['España, Sergio']"
128,Yolanda  Gonzalez Arechavala,2003,Universidad Pontificia Comillas,Spain,Desarrollo de sistemas digitales de seguridad. Enfoque basado en un modelo unificado de simulación.,68—Computer science,1,['Fernando  Cuadra'],0,[]
129,Antonio  Gonzalez Muñoz,1988,Universidad de Granada,Spain,Métodos subjetivos para la comparación de números difusos,68—Computer science,1,['Maria Amparo Vila  Miranda'],0,[]
130,Felipe  Gorostiaga,2022,Universidad Politécnica de Madrid,Spain,Theory and Practice of Stream Runtime Verification for Sequences and Real-Time Event Based Systems,68—Computer science,1,['Cesar  Sanchez'],0,[]
131,Maarten  Grachten,2006,Universitat Pompeu Fabra,Spain,Expressivity-Aware Tempo Transformations of Music Performances using Case-Based Reasoning,68—Computer science,1,['Josep-Lluis  Arcos'],1,"['Cancino-Chacón, Carlos Eduardo']"
132,M. del Carmen  Graciani Díaz,2003,Universidad de Sevilla,Spain,Especificación y verificación de programas moleculares en PVS,68—Computer science,2,"['Mario Jesús Pérez-Jiménez', 'Fernando  Sancho Caparrini']",0,[]
133,Maria Adela  Grando,2009,Universitat Rovira i Virgili,Spain,Contributions of Formal Language Theory and Grammar System Theory to the Formal Study of Dialogues,68—Computer science,1,['Victor  Mitrana'],0,[]
134,Sergio  Guadarrama,2007,Universidad Politécnica de Madrid,Spain,A Contribution to the Study of Computing with Words and Perceptions,68—Computer science,1,['Enric  Trillas'],0,[]
135,Miguel A.  Gutiérrez-Naranjo,2002,Universidad de Sevilla,Spain,Operadores de generalización para el aprendizaje clausal,68—Computer science,2,"['José Antonio  Alonso Jiménez', 'Joaquín  Borrego Díaz']",2,"['Paluzo-Hidalgo, Eduardo', 'Riscos-Núñez, Agustín']"
136,Sergio   Gutiérrez Santos,2007,Universidad Carlos III de Madrid,Spain,Sequencing of Learning Activities Oriented towards Reuse and Auto-Organization for Intelligent Tutoring Systems,68—Computer science,1,['Abelardo  Pardo Sánchez'],1,"['Karkalas, Sokratis']"
137,Fadi Abdulfattah Mohammed Hassan,2021,Universitat Rovira i Virgili,Spain,Utility-Preserving Anonymization of Textual Documents,68—Computer science,2,"['David  Sánchez', 'Josep  Domingo-Ferrer']",0,[]
138,Federico  Heras,2008,Universitat Politècnica de Catalunya,Spain,A new framework for Max-SAT solving,68—Computer science,1,['Javier  Larrosa'],0,[]
139,Carlos  Hernandez,2008,Universidad de Barcelona,Spain,Propagacion acotada en busqueda heuristica en tiempo real en entornos inicialmente desconocidos,68—Computer science,1,['Pedro  Meseguer'],0,[]
140,Hugo  Hernández Pibernat,2012,Universitat Politècnica de Catalunya,Spain,"Swarm Intelligence Techniques for Optimization and Management Tasks in
Sensor Networks",68—Computer science,1,['Christian  Blum'],0,[]
141,Enrique  Herrera,1996,Universidad de Granada,Spain,Modelos Linguisticos para la toma de Decisiones  en  Grupo,68—Computer science,2,"['Jose Luis  Verdegay', 'Francisco  Herrera']",0,[]
142,Francisco  Herrera,1991,Universidad de Granada,Spain,Problemas y Algoritmos  de  Programacion  Entera  Difusa,68—Computer science,1,['Jose Luis  Verdegay'],2,"['Chiclana, Francisco', 'Herrera, Enrique']"
143,Malik  Imran Daud,2016,Universitat Rovira i Virgili,Spain,Ontology-based Access Control in Open Scenarios: Applications to Social Networks and the Cloud,68—Computer science,2,"['Alexandre  Viejo', 'David  Sánchez']",0,[]
144,Armand Mihai Ionescu,2008,Universitat Rovira i Virgili,Spain,"Membrane Computing: Traces, Neural Inspired Models, Controls",68—Computer science,2,"['Victor  Mitrana', 'Takashi  Yokomori']",0,[]
145,David  Isern,2009,Universitat Politècnica de Catalunya,Spain,Agent-Based Management of Clinical Guidelines,68—Computer science,1,['Antonio  Moreno'],1,"['Marin, Lucas']"
146,Tseren-Onolt  Ishdorj,2007,Universidad de Sevilla,Spain,"Membrane Computing, Neural Inspirations, Gene Assembly in Ciliates",68—Computer science,2,"['Gheorghe  Păun', 'Mario Jesús Pérez-Jiménez']",0,[]
147,Mikel  Iturbe,2017,Mondragon Unibertsitatea,Spain,Data-driven anomaly detection in industrial networks,68—Computer science,2,"['Urko  Zurutuza', 'Roberto  Uribeetxeberria']",0,[]
148,Unai  Izagirre,2021,Mondragon Unibertsitatea,Spain,Towards data-driven predictive maintenance for industrial robots,68—Computer science,1,['Urko  Zurutuza'],0,[]
149,Roger  Jardí-Cedó,2015,Universitat Rovira i Virgili,Spain,Enhancing Drivers’ Privacy in Urban Electronic Road Pricing Systems,68—Computer science,2,"['Jordi  Castellà-Roca', 'Alexandre  Viejo']",0,[]
150,Aleksandar  Jevtić,2011,Universidad Politécnica de Madrid,Spain,"Swarm Intelligence: Novel tools for optimization, feature extraction, and multi-agent system modeling",68—Computer science,2,"['Diego  Andina', 'Mo  Jamshidi']",0,[]
151,Ernesto  Jiménez,2004,Universidad Rey Juan Carlos,Spain,Interconexión de sistemas de memoria compartida distribuida,68—Computer science,1,['Antonio  Fernández Anta'],0,[]
152,Fernando  Jimenez-Barrionuevo,1996,Universidad de Granada,Spain,"Heuristicas  basadas  en  Algoritmos  Geneticos  para   la Resolucion de
Problemas de Transporte",68—Computer science,1,['Jose Luis  Verdegay'],0,[]
153,Ana  Jokanovic,2014,Universitat Politècnica de Catalunya,Spain,Resource management techniques aware of interference among high-performance computing applications,68—Computer science,3,"['Jesus  Labarta', 'Jose Carlos  Sancho', 'German  Rodriguez']",0,[]
154,Sindhu  Joseph,2010,Universidad Autónoma de Barcelona,Spain,Coherence-Based Computational Agency,68—Computer science,2,"['Carles  Sierra', 'Marco  Schorlemmer']",0,[]
155,Gonzalo  Joya,1997,Universidad de Málaga,Spain,CONTRIBUCION DE LAS REDES NEURONALES ARTIFICIALES DE ALTO ORDEN AL DISEÑO DE SISTEMAS AUTONOMOS,68—Computer science,1,['Francisco  Sandoval'],1,"['Atencia, Miguel']"
156,Pascual  Julián,2000,Universitat Politècnica de València,Spain,Specialization of Lazy Functional Logic Programs,68—Computer science,1,['María  Alpuente'],0,[]
157,Oihane  Kamara-Esteban,2017,Universidad de Deusto,Spain,"Contributions to Demand-Side Management by the application of Artificial Intelligence Techniques in Domestic, Commercial and Industrial Scenarios",68—Computer science,2,"['Cruz Enrique  Borges Hernández', 'Ana María Macarulla Arenaza']",0,[]
158,Maximiliano  Klemen,2020,Universidad Politécnica de Madrid,Spain,A General Framework for Static Resource Analysis and Profiling of (Parallel) Programs and an Application to Runtime Checking,68—Computer science,1,['Pedro  López García'],0,[]
159,Andrew  Koster,2012,Universidad Autónoma de Barcelona,Spain,Trust Alignment and Adaptation: Two Approaches for Talking about Trust in Multi-Agent Systems,68—Computer science,2,"['Jordi  Sabater-Mir', 'Marco  Schorlemmer']",0,[]
160,David  Kutangila-Mayoya,2005,Universidad de Granada,Spain,Modelos basados en “Soft Computing” para resolver Problemas de Localización,68—Computer science,1,['Jose Luis  Verdegay'],0,[]
161,Susana  Ladra,2011,Universidade da Coruña,Spain,Algorithms and Compressed Data Structures for Information Retrieval,68—Computer science,2,"['Nieves  Brisaboa', 'Gonzalo  Navarro']",0,[]
162,Mikel  Larrea,2000,University of the Basque Country,Spain,Efficient Algorithms to Implement Failure Detectors and Solve Consensus in Distributed Systems,68—Computer science,2,"['André  Schiper', 'Sergio  Arévalo']",1,"['Martín, Cristian']"
163,Javier  Larrosa,1998,Universitat Politècnica de Catalunya,Spain,Algorithms and Heuristics for Total and Partial Constraint Satisfaction,68—Computer science,1,['Pedro  Meseguer'],3,"['Heras, Federico', 'Rollon, Emma', 'Sánchez, Martí']"
164,Inigo  Lecuona,2020,Mondragon Unibertsitatea,Spain,Diseño de un Sistema de Soporte de Decisiones Dirigido por Datos para una EDAR,68—Computer science,2,"['Urko  Zurutuza', 'Rosa  Basagoiti']",0,[]
165,Jordi  Levy,1994,Universitat Politècnica de Catalunya,Spain,The Calculus of Refinements: a Formal Specification Model Based on Inclusions,68—Computer science,1,['Jaume  Agustí-Cullell'],2,"['Schorlemmer, Marco', 'Villaret, Mateu']"
166,Umer  Liqat,2018,Universidad Politécnica de Madrid,Spain,A multi-language and multi-platform framework for resource consumption analysis and its application to energy-efficient software development,68—Computer science,1,['Pedro  López García'],0,[]
167,Remco  Loos,2008,Universitat Rovira i Virgili,Spain,,68—Computer science,1,['Victor  Mitrana'],0,[]
168,Ramon  Lopez de Mantaras,1981,Universitat Politècnica de Catalunya and Université Paul Sabatier - Toulouse III,Spain,Autoapprentissage d'une partition. Application au Classement Iteratif de Donnees Multidimensionnelles; Machine Learning Algorithms in Pattern Recognition. Application to Robotics,68—Computer science,2,"['Josep  Aguilar-Martin', 'Enric  Trillas']",12,"['Baydin, Atilim', 'Busquets, Didac', 'Cerquides, Jesus', 'Cortés, Ulises', 'Lopez-Sanchez, Maite', 'Meseguer, Pedro', 'Noriega, Pablo', 'Plaza, Enric', 'Ramisa, Arnau', 'Ribes, Arturo', 'Ros, Raquel', 'Sierra, Carles']"
